blue_win,blueGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgLevel,redGold,redMinionsKilled,redJungleMinionsKilled,redAvgLevel,blueChampKills,blueHeraldKills,blueTowersDestroyed,redChampKills,redHeraldKills,redTowersDestroyed
0,24575,349,89,8.6,25856,346,80,9.2,6,1,1,12,2,1
0,27210,290,36,9.0,28765,294,92,9.4,20,0,0,19,2,0
1,32048,346,92,9.4,25305,293,84,9.4,17,3,0,11,0,4
0,20261,223,60,8.2,30429,356,107,9.4,7,0,3,16,3,0
1,30217,376,110,9.8,23889,334,60,8.8,16,3,0,8,0,2
1,25470,362,82,9.2,22856,319,86,8.8,9,1,0,7,1,0
1,25391,350,96,9.2,23236,345,80,8.6,8,2,0,5,1,1
0,28946,367,65,9.2,26528,311,63,8.8,15,2,1,14,1,1
1,26928,379,80,9.6,23065,362,95,9.2,11,1,0,5,2,1
1,26079,302,106,9.0,27275,347,91,9.4,9,1,1,10,2,1
0,23215,307,70,9.0,26823,390,89,9.0,9,2,1,9,0,0
1,27944,319,94,9.0,21329,311,84,8.8,13,3,0,4,0,1
1,24979,364,107,9.4,26341,344,92,9.6,6,2,1,10,1,1
0,23095,210,84,8.0,31472,344,115,9.2,10,0,4,15,3,0
1,27466,341,97,8.8,23844,332,92,8.8,12,2,1,7,0,2
1,26804,410,66,9.2,24590,388,95,9.4,6,2,0,6,0,2
1,27754,372,102,9.6,24831,347,104,9.4,10,1,0,6,2,1
0,23213,328,94,9.0,28497,381,100,9.8,6,2,1,13,1,0
0,26523,338,99,9.2,27328,350,104,9.4,9,1,0,11,2,1
1,33120,405,93,9.6,24330,309,66,8.6,19,2,1,7,1,3
1,26300,399,67,9.0,22318,335,69,8.8,9,0,0,5,3,0
1,30173,342,71,9.4,22061,319,59,8.4,18,3,0,6,0,2
1,28783,366,96,9.4,24777,354,88,9.0,14,1,0,8,1,1
1,26220,321,72,9.4,26277,300,93,9.4,15,2,2,10,1,0
1,33839,272,82,9.2,22947,233,64,8.2,30,2,0,8,0,4
0,27268,324,80,9.2,30316,319,89,9.4,15,0,2,15,2,0
0,29587,279,20,8.8,30869,286,75,9.0,20,0,1,24,3,1
0,26144,342,84,9.4,27653,336,85,9.4,12,1,1,14,1,0
1,30055,310,84,9.8,25079,285,76,8.6,19,1,0,11,2,2
0,23154,296,77,8.4,28260,326,79,9.2,7,0,1,17,3,0
0,24011,341,94,9.2,22970,365,90,9.0,5,2,0,5,1,1
0,29270,325,97,9.2,25944,375,76,9.0,16,3,1,7,0,3
0,25334,327,82,8.8,28059,345,79,8.8,8,1,2,12,2,2
1,25527,342,63,8.8,29973,380,83,9.6,11,3,1,16,0,0
1,27773,314,107,9.2,27097,332,90,9.6,13,2,1,13,1,1
0,24990,346,80,8.8,29843,329,84,9.2,6,2,3,17,1,1
0,22103,323,74,9.0,28284,343,136,9.8,5,0,1,12,3,0
0,26998,336,76,9.2,25556,349,88,9.4,11,3,0,9,0,2
1,31559,338,81,9.6,25242,307,63,8.6,20,2,0,12,1,2
0,24008,299,70,8.8,31545,389,68,10.0,10,1,1,23,1,0
1,25790,330,88,9.2,27074,366,73,9.0,9,2,1,12,0,0
1,29102,378,82,9.0,23064,331,75,8.6,14,1,0,6,1,2
0,22140,281,60,8.4,35643,336,90,9.4,6,0,5,28,3,0
1,32692,325,88,9.6,27039,315,81,9.0,23,2,0,13,0,2
0,23610,262,63,8.4,32615,341,88,9.8,10,0,3,22,3,0
0,24554,333,75,9.0,24499,364,60,9.0,10,2,0,9,0,0
0,29310,343,72,9.0,26714,316,76,9.2,17,2,0,13,1,1
0,22853,316,78,8.6,26931,328,89,9.0,3,1,1,10,2,1
1,25037,347,98,9.6,26213,365,102,9.6,8,2,1,9,0,0
1,26764,321,75,9.6,26616,334,73,9.2,14,1,0,14,1,0
1,31640,344,116,9.4,27382,352,80,9.2,21,2,1,13,0,1
1,28564,377,76,9.4,26364,348,95,9.2,13,1,1,7,2,1
0,29155,364,80,9.8,27616,397,72,9.4,14,2,2,8,0,2
0,24145,374,89,9.2,23858,365,85,9.0,4,3,0,6,0,0
0,25566,340,90,9.6,26187,415,83,9.4,11,2,1,7,1,0
0,23018,346,66,8.6,34381,363,108,10.2,7,0,3,21,3,0
1,26160,340,82,9.2,28150,361,118,9.4,11,0,2,12,2,0
0,27376,376,78,9.4,24585,323,74,8.8,9,1,1,9,1,1
0,26821,395,68,9.0,25505,356,92,9.0,11,1,0,9,1,1
0,24922,318,100,9.4,25445,355,69,9.0,8,1,0,10,2,0
0,25184,310,76,8.6,25216,296,61,8.4,11,2,0,13,0,1
1,25694,299,97,9.4,23235,287,86,9.2,10,3,0,8,0,1
1,24284,351,89,9.2,23690,322,68,8.6,9,3,1,6,0,0
0,23121,325,75,9.0,28480,391,87,9.6,6,0,0,15,3,0
0,22902,297,64,8.0,30518,329,99,9.6,9,0,2,19,3,0
1,32223,391,106,9.8,23279,361,72,9.0,15,2,0,5,0,3
0,27214,376,76,9.2,28123,331,81,9.8,12,2,0,16,1,0
0,26013,333,84,9.4,26280,330,92,9.2,10,1,0,11,2,0
1,27200,359,70,9.2,25460,364,84,9.2,12,3,1,6,0,1
0,26897,310,56,9.0,29786,328,88,9.2,16,0,1,16,3,0
0,26912,353,86,9.2,25477,382,72,9.2,11,2,0,8,1,1
0,26470,334,94,9.6,27770,361,86,9.4,13,0,2,13,2,0
1,26734,331,79,9.4,26250,333,75,9.0,11,0,0,12,2,1
1,29757,311,68,9.0,25215,300,94,8.8,21,1,0,10,1,0
0,22303,311,77,9.0,25182,351,90,9.0,6,0,0,11,3,0
0,22466,309,46,8.4,28899,364,115,10.0,6,0,2,14,2,0
1,29120,376,108,9.6,20676,320,73,8.4,11,3,0,2,0,2
1,26678,282,72,8.8,28969,363,60,9.4,14,1,1,15,0,0
1,25338,358,92,9.0,23763,294,73,8.6,7,1,0,10,1,1
0,23122,311,84,8.8,28654,365,108,10.0,7,1,0,15,1,0
0,25229,291,88,9.0,28376,362,93,9.6,9,1,0,17,2,0
0,27484,345,91,9.4,25252,314,88,9.2,12,1,0,10,2,1
0,22677,243,40,7.6,33974,367,86,9.4,10,0,7,15,3,0
1,28691,333,76,9.4,24494,323,74,8.8,12,2,1,8,0,3
0,24079,325,88,9.0,29382,344,111,9.8,8,0,2,14,3,0
1,23842,342,90,9.0,27052,380,104,9.4,6,0,2,8,3,0
1,29015,303,84,9.2,26781,332,78,9.2,16,2,1,11,0,3
0,22352,329,107,9.2,26565,411,96,9.6,4,1,2,9,2,0
1,28936,285,69,8.8,26654,281,65,8.6,16,0,0,16,2,2
1,28703,327,104,9.8,24168,350,71,9.0,16,3,1,5,0,1
1,27370,350,85,9.0,24917,305,61,9.2,12,1,0,12,2,1
1,24725,321,78,9.2,27193,372,97,9.2,10,0,1,10,2,0
1,28342,375,98,9.6,22417,318,83,8.4,12,1,1,4,2,1
